"symbol","trade_date","max_contracts"
"BANKNIFTY","2019-11-14",4564524
"NIFTY","2019-11-07",1274605
"YESBANK","2019-10-31",215823
"INFY","2019-10-22",84779
"SBIN","2019-10-25",83986
"BHARTIARTL","2019-10-24",66343
"TATAMOTORS","2019-10-29",64754
"IBULHSGFIN","2019-10-17",62762
"RELIANCE","2019-10-29",62144
"ICICIBANK","2019-11-08",54549
"RBLBANK","2019-10-23",54434
"TATASTEEL","2019-11-07",53188
"HDFC","2019-11-04",53088
"ZEEL","2019-10-18",48273
"TCS","2019-10-30",40845
"BAJFINANCE","2019-10-22",40508
"INDIGO","2019-10-25",40218
"PEL","2019-10-25",37946
"HDFCBANK","2019-10-22",37345
"TITAN","2019-11-06",35711
"KOTAKBANK","2019-10-22",34132
"JINDALSTEL","2019-11-04",33611
"MARUTI","2019-10-24",31675
"CIPLA","2019-11-06",30817
"INDUSINDBK","2019-10-31",30682
"AXISBANK","2019-10-29",29793
"SUNPHARMA","2019-11-07",28460
"IDEA","2019-10-24",26307
"DLF","2019-11-08",25095
"DRREDDY","2019-11-01",24308
"PNB","2019-11-05",23673
"ITC","2019-10-30",22932
"BHEL","2019-10-18",22440
"CANBK","2019-11-06",20179
"LT","2019-10-29",20115
"JUBLFOOD","2019-10-22",19878
"M&M","2019-11-08",19130
"LUPIN","2019-11-06",19048
"BANKBARODA","2019-10-31",18931
"AUROPHARMA","2019-11-14",18584
"FEDERALBNK","2019-10-16",18151
"JSWSTEEL","2019-10-29",17467
"GRASIM","2019-10-24",17034
"BAJAJ-AUTO","2019-10-23",16999
"ASHOKLEY","2019-11-11",16696
"HINDUNILVR","2019-10-30",16393
"BPCL","2019-10-16",15746
"ACC","2019-10-16",14402
"GLENMARK","2019-11-15",14272
"UPL","2019-11-07",14143
"HCLTECH","2019-10-24",13673
"BANKINDIA","2019-11-01",13549
"DABUR","2019-11-05",13418
"EICHERMOT","2019-10-17",13377
"HAVELLS","2019-10-23",13298
"SUNTV","2019-11-13",13243
"TVSMOTOR","2019-10-17",13218
"MFSL","2019-11-07",13179
"BHARATFORG","2019-11-08",13139
"VEDL","2019-11-14",12805
"TATAGLOBAL","2019-10-31",12545
"INFRATEL","2019-10-30",12401
"TECHM","2019-11-06",12197
"LICHSGFIN","2019-11-07",12166
"MOTHERSUMI","2019-11-11",12108
"SRF","2019-11-06",12019
"BRITANNIA","2019-11-13",11924
"L&TFH","2019-10-22",11418
"BATAINDIA","2019-11-14",11310
"IDFCFIRSTB","2019-10-25",11215
"DIVISLAB","2019-11-15",11095
"NCC","2019-11-05",10592
"MGL","2019-11-13",10107
"ASIANPAINT","2019-10-23",9819
"HEROMOTOCO","2019-10-24",9786
"APOLLOTYRE","2019-11-05",9579
"IOC","2019-11-14",9463
"MINDTREE","2019-10-17",9289
"PVR","2019-10-17",9209
"CADILAHC","2019-11-04",8938
"COALINDIA","2019-11-05",8696
"WIPRO","2019-10-16",8638
"HINDALCO","2019-11-07",8485
"PETRONET","2019-10-30",8334
"IGL","2019-11-08",8332
"SAIL","2019-10-18",8265
"BIOCON","2019-10-24",8070
"GODREJCP","2019-11-06",8020
"ULTRACEMCO","2019-10-31",7975
"DISHTV","2019-11-01",7710
"AMARAJABAT","2019-11-11",7656
"M&MFIN","2019-10-22",7594
"BAJAJFINSV","2019-11-04",7540
"ADANIENT","2019-10-29",7526
"CENTURYTEX","2019-11-13",7374
"AMBUJACEM","2019-10-22",7354
"COLPAL","2019-11-08",7175
"MUTHOOTFIN","2019-11-14",7164
"GAIL","2019-10-30",7127
"TATAMTRDVR","2019-10-29",7090
"APOLLOHOSP","2019-11-14",6979
"EXIDEIND","2019-10-17",6931
"JUSTDIAL","2019-11-13",6905
"ESCORTS","2019-10-16",6866
"HINDPETRO","2019-11-07",6783
"PIDILITIND","2019-11-14",6641
"EQUITAS","2019-11-11",6619
"UBL","2019-11-08",6603
"NMDC","2019-10-18",6504
"NBCC","2019-11-07",6365
"NTPC","2019-10-30",6079
"BEL","2019-10-18",6045
"MCDOWELL-N","2019-10-25",5879
"TATAELXSI","2019-10-24",5814
"BALKRISIND","2019-11-15",5799
"UNIONBANK","2019-11-15",5769
"ONGC","2019-10-31",5717
"ADANIPORTS","2019-11-13",5683
"STAR","2019-10-25",5629
"VOLTAS","2019-11-08",5618
"ADANIPOWER","2019-11-04",5354
"NATIONALUM","2019-10-31",5322
"SRTRANSFIN","2019-10-30",5174
"UJJIVAN","2019-10-22",5162
"ICICIPRULI","2019-10-29",4985
"TATAPOWER","2019-11-08",4874
"MANAPPURAM","2019-10-18",4871
"BERGEPAINT","2019-11-05",4794
"NESTLEIND","2019-10-29",4755
"PFC","2019-10-31",4492
"CUMMINSIND","2019-10-24",4483
"PAGEIND","2019-10-30",4164
"MARICO","2019-10-29",4149
"RECLTD","2019-10-18",4133
"MRF","2019-11-08",4046
"TATACHEM","2019-10-30",3995
"CONCOR","2019-10-31",3921
"POWERGRID","2019-10-31",3861
"CHOLAFIN","2019-11-15",3736
"SHREECEM","2019-10-22",3731
"BOSCHLTD","2019-10-30",3559
"RAMCOCEM","2019-10-30",3465
"CESC","2019-11-05",3439
"TORNTPHARM","2019-10-24",3350
"SIEMENS","2019-11-15",3344
"CASTROLIND","2019-10-24",3333
"TORNTPOWER","2019-11-06",3123
"HEXAWARE","2019-10-24",3101
"GMRINFRA","2019-10-29",2935
"NIITTECH","2019-10-24",2565
"OIL","2019-10-30",1543
"NIFTYIT","2019-10-22",454
